n,
n,bastardo,agg.;s.m.
b,bastare,v.intr.
i,bastonare,v.tr.
n,bastone,s.m.
b,battaglia,s.f.
i,battello,s.m.
b,battere,v.tr.;intr.;s.m.
n,batteria,s.f.
n,batterio,s.m.
i,batticuore,s.m.
i,battipanni,s.m.inv.
i,battito,s.m.
b,battuta,s.f.
i,batuffolo,s.m.
i,baule,s.m.
i,bava,s.f.
i,bavaglio,s.m.
n,beato,p.pass.;agg.;s.m.
n,beccare,v.tr.;v.intr.
i,befana,s.f.
i,beffa,s.f.
b,beh,inter.
i,belare,v.intr.
i,belga,agg.;s.m.;f.
n,bella,s.f.
b,bellezza,s.f.
b,bello,agg.;s.m.
n,benché,cong.
i,benda,s.f.
b,1bene,avv.;inter.
b,2bene,s.m.
n,benedetto,p.pass.;agg.;s.m.
i,beneficenza,s.f.
n,beneficio,s.m.
n,benessere,s.m.
i,benestante,agg.;s.m.;f.
n,bensì,cong.;avv.
n,benvenuto,agg.;s.m.inv.;s.m.
n,benzina,s.f.
i,benzinaio,s.m.
b,bere,v.tr.;s.m.
i,berlinese,agg.;s.m.;f.
i,berretto,s.m.
n,bersaglio,s.m.
i,besciamella,s.f.
i,bestemmia,s.f.
n,bestia,s.f.
i,bestiale,agg.
n,bevanda,s.f.
i,bevitore,s.m.
i,1bevuta,s.f.
i,bi,s.f.;m.inv.
b,bianco,agg.;s.m.
n,bibbia,s.f.
i,bibita,s.f.
n,biblico,agg.;s.m.
n,bibliografia,s.f.
n,biblioteca,s.f.
b,bicchiere,s.m.
n,bici,s.f.inv.
n,bicicletta,s.f.
i,bidè,s.m.inv.
i,bidello,s.m.
i,biglia,s.f.
i,biglietteria,s.f.
b,biglietto,s.m.
i,bikini,s.m.inv.
n,bilancia,s.f.;s.f.inv.
n,bilancio,s.m.
i,biliardo,s.m.
n,bimba,s.f.
n,bimbo,s.m.
i,1binario,s.m.
n,biografia,s.f.
n,biologia,s.f.
n,biologico,agg.;s.m.
n,1bionda,s.f.
n,biondo,agg.;s.m.
i,birichino,s.m.;agg.
i,birillo,s.m.
n,birra,s.f.
i,bisbigliare,v.intr.;tr.
i,biscia,s.f.
n,biscotto,agg.;s.m.
i,bisnonno,s.m.
b,bisognare,v.intr.
b,bisogno,s.m.
i,bistecca,s.f.
i,bistecchiera,s.f.
i,bisticciare,v.intr.
n,bit,s.m.inv.
n,bizzarro,agg.
b,bloccare,v.tr.
n,1blocco,s.m.
n,2blocco,s.m.
b,blog,s.m.inv.
b,blu,agg.inv.;s.m.inv.
b,bocca,s.f.
i,1bocchino,s.m.
i,boccia,s.f.
n,bocciare,v.tr.;intr.
i,bocciatura,s.f.
i,bocciolo,s.m.
i,boccone,s.m.
n,boh,inter.
i,boia,s.m.inv.;agg.inv.
n,1bolla,s.f.
n,1bolletta,s.f.
i,bollito,p.pass.;agg.;s.m.
i,bollitore,s.m.
i,1bollo,s.m.
i,bolognese,agg.;s.m.;f.
i,bolzanino,agg.;s.m.
n,1bomba,s.f.
n,bombardare,v.tr.
i,bombola,s.f.
i,bomboniera,s.f.
n,bontà,s.f.inv.
b,bordo,s.m.
i,borgata,s.f.
n,1borghese,agg.;s.m.;f.
i,borghesia,s.f.
n,borgo,s.m.
i,borotalco,s.m.
b,1borsa,s.f.
n,2borsa,s.f.
i,borsetta,s.f.
b,bosco,s.m.
i,bosniaco,agg.;s.m.
n,boss,s.m.inv.
i,1bossolo,s.m.
i,1botanica,s.f.
n,1botta,s.f.
i,botte,s.f.
n,bottega,s.f.
i,bottegaio,s.m.;agg.
b,bottiglia,s.f.
i,1botto,s.m.
n,bottone,s.m.
i,bovino,agg.;s.m.
n,box,s.m.inv.
i,1boxer,s.m.inv.
i,braccialetto,s.m.
i,bracciante,s.m.;f.
b,braccio,s.m.
n,branco,s.m.
n,brand,s.m.inv.
i,brandello,s.m.
b,brano,s.m.
n,brasiliano,agg.;s.m.
b,bravo,agg.;s.m.;inter.
i,bresaola,s.f.
i,bretella,s.f.
b,1breve,agg.;avv.;s.f.
i,briciola,s.f.
i,brigantaggio,s.m.
i,1brigante,s.m.
n,brillante,p.pres.;agg.;s.m.
i,brillantina,s.f.
n,1brillare,v.intr.;v.tr.
i,brina,s.f.
i,brioche,s.f.inv.
n,britannico,agg.;s.m.
n,brivido,s.m.
i,1brocca,s.f.
n,brogliaccio,s.m.
i,bronchite,s.f.
i,brontolare,v.intr.;tr.
n,bronzo,s.m.
b,bruciare,v.tr.;intr.
n,bruciato,p.pass.;agg.;s.m.
i,bruciatura,s.f.
i,bruco,s.m.;agg.
i,1bruschetta,s.f.
i,brutale,agg.
b,brutto,agg.;s.m.;avv.
n,buca,s.f.
n,bucare,v.tr.;v.intr.
i,1bucato,s.m.
i,buccia,s.f.
b,1buco,s.m.
i,budino,s.m.
i,bufala,s.f.
i,bufalo,s.m.
i,bufera,s.f.
i,buffet,s.m.inv.
n,1buffo,agg.;s.m.
n,1bugia,s.f.
n,bugiardo,agg.;s.m.
b,buio,agg.;s.m.
i,bulgaro,agg.;s.m.
i,buonafede,s.f.
n,buonasera,inter.
b,buongiorno,inter.
i,buongusto,s.m.
b,1buono,agg.;s.m.;avv.
i,buonuomo,s.m.
i,1burattino,s.m.
i,burocrazia,s.f.
i,burrasca,s.f.
n,burro,s.m.
i,burrone,s.m.
n,1business,s.m.inv.;agg.inv.
n,bussare,v.intr.;v.tr.
i,1bussola,s.f.
n,busta,s.f.
i,bustina,s.f.
i,busto,s.m.
b,buttare,v.tr.;intr.
n,cabina,s.f.
i,cacao,s.m.inv.
n,cacca,s.f.
b,1caccia,s.f.
b,cacciare,v.tr.
n,cacciatore,s.m.
i,cacciavite,s.m.inv.
b,cadavere,s.m.
b,cadere,v.intr.;s.m.
n,caduta,s.f.
b,caffè,s.m.inv.;agg.inv.
i,caffellatte,s.m.inv.;agg.inv.
i,caffettiera,s.f.
n,cagare,v.intr.;tr.
i,cagliaritano,agg.;s.m.
i,calabrese,agg.;s.m.;f.
i,calabrone,s.m.
i,1calamaro,s.m.
i,calamita,s.f.
n,calare,v.intr.;tr.
i,calcagno,s.m.
i,calciare,v.intr.;tr.
n,calciatore,s.m.
i,calcinaccio,s.m.
b,1calcio,s.m.
n,calcolare,v.tr.
i,calcolatore,agg.;s.m.
i,calcolatrice,s.f.
n,1calcolo,s.m.
b,caldo,agg.;s.m.;avv.
n,calendario,s.m.
i,calligrafia,s.f.
i,callo,s.m.
n,calma,s.f.
n,calmare,v.tr.;v.intr.
n,2calmo,agg.
n,calo,s.m.
b,calore,s.m.
i,calpestare,v.tr.
i,calunnia,s.f.
i,calvario,s.m.
n,calza,s.f.
i,2calzare,v.tr.;intr.
i,calzatura,s.f.
i,calzino,s.m.
i,calzolaio,s.m.
i,calzoleria,s.f.
i,calzone,s.m.
b,cambiamento,s.m.
b,cambiare,v.tr.;intr.
b,cambio,s.m.
b,1camera,s.f.
i,1camerata,s.m.;f.
n,cameriere,s.m.
i,camicetta,s.f.
n,camicia,s.f.
i,caminetto,s.m.
b,camion,s.m.inv.
i,camionista,s.m.;f.
i,cammello,s.m.;s.m.inv.;agg.inv.
b,camminare,v.intr.;v.tr.
i,1camminata,s.f.
n,1cammino,s.m.
i,camomilla,s.f.
n,1camorra,s.f.
b,campagna,s.f.
n,1campana,s.f.
i,campanella,s.f.
n,campanello,s.m.
i,campanile,s.m.
i,1campano,agg.;s.m.
n,1campare,v.intr.;v.tr.
i,1campeggio,s.m.
n,1campionato,s.m.
b,campione,s.m.
b,campo,s.m.
i,campobassano,agg.;s.m.
i,camposanto,s.m.
i,canadese,agg.;s.f.;s.m.
i,canaglia,s.f.
b,canale,s.m.
i,canapa,s.f.
