n,
i,imprudente,agg.;s.m.;f.
i,impulsivo,agg.;s.m.
n,1impulso,s.m.
n,imputata,s.f.
b,imputato,p.pass.;agg.;s.m.
b,1in,prep.
n,inaspettato,agg.
n,inaugurare,v.tr.
i,incamminare,v.tr.
i,1incantare,v.tr.
n,incapace,agg.;s.m.;f.
n,incapacità,s.f.inv.
n,incaricare,v.tr.
n,incarico,s.m.
i,incartare,v.tr.;intr.
n,incassare,v.tr.;intr.
i,incasso,s.m.
n,incastrare,v.tr.;v.intr.
i,incatenare,v.tr.
n,incazzarsi,v.pronom.intr.
n,incendio,s.m.
n,incertezza,s.f.
n,incerto,agg.;s.m.
n,inchiesta,s.f.
i,inchiodare,v.tr.
b,1incidente,s.m.
n,1incidere,v.tr.
n,1incinta,agg.f.
i,incitare,v.tr.
i,incivile,agg.;s.m.;f.
n,includere,v.tr.
n,incluso,p.pass.;agg.;s.m.
n,1incollare,v.tr.
n,incominciare,v.tr.;intr.
i,incompleto,agg.
n,incomprensibile,agg.
i,inconsolabile,agg.
i,incontentabile,agg.
b,incontrare,v.tr.;v.intr.
b,1incontro,s.m.
n,2incontro,avv.
n,incoraggiare,v.tr.
i,incoronare,v.tr.
i,incorreggibile,agg.
b,incredibile,agg.
n,incremento,s.m.
i,incrinare,v.tr.
n,incrociare,v.tr.;intr.
i,incrocio,s.m.
n,incubo,s.m.
i,incurabile,agg.;s.m.;f.
n,incuriosire,v.tr.;intr.
n,indagare,v.tr.;intr.
b,indagine,s.f.
i,indescrivibile,agg.
n,indiano,agg.;s.m.
b,indicare,v.tr.
b,indicazione,s.f.
b,indice,s.m.;agg.
i,indietreggiare,v.intr.
b,indietro,avv.;agg.inv.;loc. di comando
i,indifeso,agg.
n,indifferente,agg.;s.m.;f.
n,indifferenza,s.f.
i,indigestione,s.f.
i,indimenticabile,agg.
n,indipendente,agg.;s.m.;f.
n,indipendentemente,avv.
n,indipendenza,s.f.
n,1indiretto,agg.
n,indirizzare,v.tr.
b,indirizzo,s.m.
i,indisciplinato,agg.
n,indispensabile,agg.;s.m.
n,individuale,agg.
b,individuare,v.tr.
b,individuo,s.m.;agg.
n,indizio,s.m.
b,indossare,v.tr.
n,indovinare,v.tr.
i,indovinello,s.m.
n,indubbiamente,avv.
i,indumento,s.m.
n,indurre,v.tr.
b,industria,s.f.
b,industriale,agg.;s.m.;f.
n,inedito,agg.
i,inefficace,agg.
i,inerte,agg.
n,1inesistente,agg.
i,inesperienza,s.f.
i,inesperto,agg.
n,inevitabile,agg.;s.m.
n,inevitabilmente,avv.
i,infame,agg.;s.m.;f.
n,infantile,agg.
n,infanzia,s.f.
n,infarto,s.m.
b,infatti,cong.;avv.
i,infedele,agg.;s.m.;f.
n,infelice,agg.;s.m.;f.
b,inferiore,agg.
n,infermiera,s.f.
i,infermiere,s.m.
n,1inferno,s.m.;agg.
n,infezione,s.f.
b,infilare,v.tr.
b,infine,avv.
b,infinito,agg.;s.m.
n,influenza,s.f.
n,influenzare,v.tr.
b,informare,v.tr.
n,1informatica,s.f.
n,informatico,agg.;s.m.
n,informativo,agg.
b,informazione,s.f.
i,infradito,agg.;s.m.inv.
n,infrastruttura,s.f.
n,infuriare,v.intr.;tr.
i,infuso,p.pass.;agg.;s.m.
n,ingannare,v.tr.
n,inganno,s.m.
n,ingegnere,s.m.
n,ingegneria,s.f.
i,ingelosire,v.tr.;intr.
n,ingenuo,agg.;s.m.
i,ingessare,v.tr.
n,ingiusto,agg.;s.m.
b,inglese,agg.;s.m.;f.
n,ingoiare,v.tr.
i,ingorgo,s.m.
i,ingrandire,v.tr.;intr.
n,ingrassare,v.tr.;intr.
n,ingrediente,s.m.
b,1ingresso,s.m.
i,iniezione,s.f.
b,iniziale,agg.;s.f.
n,inizialmente,avv.
b,iniziare,v.intr.;tr.
b,iniziativa,s.f.
b,inizio,s.m.
b,innamorarsi,v.pronom.intr.
n,innamorato,p.pass.;agg.;s.m.
n,innanzitutto,avv.
i,innervosire,v.tr.
n,innocente,agg.;s.m.;f.
n,innocuo,agg.
n,innovativo,agg.
n,innovazione,s.f.
b,inoltre,avv.
n,inquadrare,v.tr.
n,inquietante,p.pres.;agg.
n,inquinamento,s.m.
i,inquinare,v.tr.
i,inquinato,p.pass.;agg.
n,insalata,s.f.
n,insegna,s.f.
n,insegnamento,s.m.
b,insegnante,p.pres.;agg.;s.m.;f.
b,insegnare,v.tr.
n,inseguire,v.tr.
i,inseparabile,agg.;s.m.
n,inserimento,s.m.
b,inserire,v.tr.
i,insetticida,agg.
n,insetto,s.m.
b,insieme,avv.;s.m.
n,insinuare,v.tr.
b,insistere,v.intr.
i,insoddisfatto,agg.
n,insolito,agg.;s.m.
b,insomma,avv.
n,insopportabile,agg.
i,insospettire,v.tr.;intr.
n,installare,v.tr.
i,insuccesso,s.m.
n,insultare,v.tr.;intr.
n,insulto,s.m.
b,intanto,avv.
i,intasare,v.tr.
n,intatto,agg.
n,integrale,agg.;s.m.
n,integrare,v.tr.
n,integrazione,s.f.
n,intellettuale,agg.;s.m.;f.
b,intelligente,agg.
n,intelligenza,s.f.
b,intendere,v.tr.;v.intr.
n,intensità,s.f.inv.
b,intenso,agg.
n,1intento,s.m.
b,intenzione,s.f.
n,interagire,v.intr.
n,interamente,avv.
n,interazione,s.f.
n,intercettare,v.tr.
n,intercettazione,s.f.
b,interessante,p.pres.;agg.
b,interessare,v.tr.;intr.
n,interessato,p.pass.;agg.;s.m.
b,interesse,s.m.
n,interiore,agg.;s.m.
n,interlocutore,s.m.
b,internazionale,agg.;s.m.;f.
b,internet,s.m.;f.inv.
b,interno,agg.;s.m.
b,intero,agg.;s.m.
b,interpretare,v.tr.
n,interpretazione,s.f.
n,interprete,s.m.;f.
n,interrogare,v.tr.
n,interrogativo,agg.;s.m.
n,interrogatorio,agg.;s.m.
i,interrogazione,s.f.
b,interrompere,v.tr.
i,interruttore,s.m.
n,interruzione,s.f.
n,intervallo,s.m.
b,intervenire,v.intr.
b,intervento,s.m.
b,intervista,s.f.
n,intesa,s.f.
n,intestare,v.tr.
i,1intestino,s.m.
i,intimidire,v.tr.;intr.
n,intimità,s.f.inv.
n,1intimo,agg.;s.m.
n,intitolare,v.tr.
i,intonaco,s.m.
b,intorno,avv.;prep.;agg.inv.;s.m.
n,intraprendere,v.tr.
n,intravedere,v.tr.
n,intrecciare,v.tr.
b,introdurre,v.tr.
n,introduzione,s.f.
n,intuire,v.tr.
n,intuizione,s.f.
b,inutile,agg.
i,invadente,p.pres.;agg.;s.m.;f.
n,invadere,v.tr.
n,invasione,s.f.
n,invecchiare,v.intr.;v.tr.
b,invece,avv.
b,inventare,v.tr.
n,invenzione,s.f.
n,invernale,agg.;s.f.
b,inverno,s.m.
n,investimento,s.m.
b,investire,v.tr.;v.intr.
b,inviare,v.tr.
n,inviato,p.pass.;agg.;s.m.
n,invidiare,v.tr.;v.intr.
i,invidioso,agg.;s.m.
i,invincibile,agg.
n,invisibile,agg.;s.m.;s.f.
b,1invitare,v.tr.
n,1invitato,p.pass.;agg.;s.m.
n,1invito,s.m.
n,invocare,v.tr.
i,inzuppare,v.tr.
b,1io,pron.pers. di prima pers.sing.;s.m.inv.
i,1ionico,agg.
b,ipotesi,s.f.inv.
n,ipotizzare,v.tr.
i,ippopotamo,s.m.
i,ipsilon,s.f.;m.inv.
n,ira,s.f.
n,irlandese,agg.;s.m.;f.
n,ironia,s.f.
n,ironico,agg.
i,irriconoscibile,agg.
n,1irritare,v.tr.
n,1iscritto,p.pass.;agg.;s.m.
b,iscrivere,v.tr.
n,iscrizione,s.f.
n,islamico,agg.;s.m.
i,islandese,agg.;s.m.;f.
b,isola,s.f.
n,isolare,v.tr.
n,1isolato,p.pass.;agg.;s.m.
n,ispettore,s.m.
b,ispirare,v.tr.
n,ispirazione,s.f.
i,israeliano,agg.;s.m.
b,1istante,s.m.
n,istanza,s.f.
i,istintivo,agg.
n,istinto,s.m.
b,istituto,s.m.
n,istituzionale,agg.
b,istituzione,s.f.
i,istruttivo,agg.
i,istruttore,s.m.
b,istruzione,s.f.
b,italiano,agg.;s.m.
i,iugoslavo,agg.;s.m.
n,jeans,s.m.inv.
i,karatè,s.m.inv.
i,ketchup,s.m.inv.
n,killer,s.m.;f.inv.;agg.inv.
i,kit,s.m.inv.
i,kiwi,s.m.inv.
b,là,avv.
b,1la,art.det.f.sing.;pron.pers. di terza pers.f.sing.
b,labbro,s.m.
i,labirinto,s.m.
b,laboratorio,s.m.
i,laborioso,agg.
i,1lacca,s.f.;agg.inv.
i,laccio,s.m.
b,lacrima,s.f.
n,laddove,avv.;cong.
n,ladro,s.m.
n,laggiù,avv.
b,lago,s.m.
n,laico,agg.;s.m.
n,1lama,s.f.
b,lamentare,v.tr.;v.intr.
i,lamentela,s.f.
i,lametta,s.f.
i,lamiera,s.f.
n,lampada,s.f.
i,lampadario,s.m.
n,lampo,s.m.;agg.inv.;s.f.inv.
n,lana,s.f.
i,lancetta,s.f.
b,lanciare,v.tr.;v.intr.
n,lancio,s.m.
i,lanterna,s.f.
i,lapis,s.m.inv.
i,lardo,s.m.
i,larghezza,s.f.
b,largo,agg.;s.m.;avv.
i,lasagna,s.f.
b,lasciare,v.tr.
n,lassù,avv.
n,1lastra,s.f.
n,laterale,agg.;s.m.;f.
n,latino,agg.;s.m.
b,1lato,s.m.
i,1latta,s.f.
i,lattante,p.pres.;agg.;s.m.;f.
b,latte,s.m.;s.m.inv.;agg.inv.
i,latteria,s.f.
i,lattina,s.f.
i,lattuga,s.f.
n,laurea,s.f.
n,laureare,v.tr.
n,laureato,p.pass.;agg.;s.m.
i,lava,s.f.
i,lavabo,s.m.
i,lavagna,s.f.;s.m.inv.;agg.inv.
i,2lavanda,s.f.
i,lavanderia,s.f.
i,1lavandino,s.m.
i,lavapiatti,s.m.;f.inv.
b,lavare,v.tr.
i,lavastoviglie,s.m.;f.inv.
n,lavatrice,s.f.
i,lavello,s.m.
b,lavorare,v.intr.;tr.
n,lavorativo,agg.
b,lavoratore,agg.;s.m.
n,lavorazione,s.f.
b,lavoro,s.m.
i,laziale,agg.;s.m.;f.
b,1le,art.det.f.pl.;pron.pers. di terza pers.f.pl.
b,2le,pron.pers. di terza pers.f.sing.
n,leader,s.m.;f.inv.
i,lealtà,s.f.inv.
i,lebbra,s.f.
n,leccare,v.tr.
i,leccio,s.m.
n,1lecito,agg.;s.m.
n,1lega,s.f.
b,legale,agg.;s.m.
n,legame,s.m.
b,1legare,v.tr.;intr.
b,3legato,p.pass.;agg.;s.m.
b,legge,s.f.
n,leggenda,s.f.
b,leggere,v.tr.
n,leggermente,avv.
b,leggero,agg.;avv.;s.m.
n,legislativo,agg.
n,legittimo,agg.
i,legna,s.f.inv.
b,legno,s.m.
i,legume,s.m.
b,lei,pron.pers. di terza pers.f.sing.;s.m.inv.;s.f.inv.
b,lentamente,avv.
i,1lente,s.f.
i,lenticchia,s.f.
i,lentiggine,s.f.
b,lento,agg.;s.m.;avv.
i,lenza,s.f.
n,lenzuolo,s.m.
n,leone,s.m.;s.m.inv.
i,leonessa,s.f.
i,leopardo,s.m.
i,lepre,s.f.
n,lesione,s.f.
i,lessare,v.tr.
n,lessema,s.m.
b,lettera,s.f.
i,letterale,agg.
n,letteralmente,avv.
n,letterario,agg.
b,letteratura,s.f.
b,1letto,s.m.
i,2lettone,s.m.
b,1lettore,s.m.
b,lettura,s.f.
n,1leva,s.f.
b,levare,v.tr.;s.m.
b,lezione,s.f.
b,lì,avv.
b,1li,pron.pers. di terza pers.m.pl.
n,libanese,agg.;s.m.;f.
n,liberale,agg.;s.m.;f.
n,liberamente,avv.
b,liberare,v.tr.
n,liberazione,s.f.
b,libero,agg.;s.m.
b,libertà,s.f.inv.
i,1libico,agg.;s.m.
i,libraio,s.m.
n,libreria,s.f.
n,libretto,s.m.
b,libro,s.m.
n,licenza,s.f.
i,licenziamento,s.m.
n,licenziare,v.tr.
n,1liceo,s.m.
i,lido,s.m.
n,lieto,agg.
n,lieve,agg.
i,1lievito,s.m.
i,ligure,agg.;s.m.;f.
i,1lima,s.f.
i,limare,v.tr.
b,2limitare,v.tr.
n,limitato,p.pass.;agg.
b,limite,s.m.;agg.inv.
i,1limonata,s.f.
n,limone,s.m.;s.m.inv.;agg.inv.
b,linea,s.f.
n,1lineare,agg.;s.f.
n,linfa,s.f.
i,lingerie,s.f.inv.
b,lingua,s.f.
b,linguaggio,s.m.
n,linguistica,s.f.
n,linguistico,agg.;s.m.
n,link,s.m.inv.
b,liquido,agg.;s.m.
i,liquore,s.m.
b,1lira,s.f.
n,lirico,agg.
i,lisbonese,agg.;s.m.;f.
n,liscio,agg.;s.m.
b,lista,s.f.
n,lite,s.f.
b,litigare,v.intr.;v.tr.
n,litigio,s.m.
n,1litro,s.m.
i,lituano,agg.;s.m.
n,live,agg.inv.
b,1livello,s.m.
b,lo,art.det.m.sing.;pron.pers. di terza pers.m.sing.
b,1locale,agg.;s.m.;f.
b,2locale,s.m.
n,1località,s.f.inv.
i,locanda,s.f.
n,locazione,s.f.
i,locomotiva,s.f.
n,1logica,s.f.
n,logico,agg.;s.m.
i,3logoro,p.pass.;agg.
n,lombardo,agg.;s.m.
i,londinese,agg.;s.m.;f.
n,lontananza,s.f.
b,lontano,agg.;avv.;s.m.
i,2lonza,s.f.
n,look,s.m.inv.
b,loro,pron.pers. di terza pers.m.;f.pl.;agg.poss. di terza pers.pl.;pron.poss. di terza pers.pl.
b,lotta,s.f.
n,lottare,v.intr.
i,lozione,s.f.
i,1lucano,agg.;s.m.
i,luccicare,v.intr.
i,lucciola,s.f.
b,luce,s.f.
i,lucente,p.pres.;agg.;s.m.
i,lucertola,s.f.
i,lucidare,v.tr.
n,lucido,agg.;s.m.
b,luglio,s.m.
b,1lui,pron.pers. di terza pers.m.sing.;s.m.inv.
i,lumaca,s.f.
n,luminoso,agg.
b,luna,s.f.
b,lunedì,s.m.inv.
n,lunghezza,s.f.
b,lungo,agg.;prep.;s.m.
b,luogo,s.m.
b,lupo,s.m.
i,lussemburghese,agg.;s.m.;f.
n,lusso,s.m.
n,lutto,s.m.
b,1ma,cong.;s.m.inv.
i,maccherone,s.m.
b,1macchia,s.f.
b,macchina,s.f.
i,macchinista,s.m.;f.
i,macedone,agg.;s.m.;f.
i,1macedonia,s.f.
n,maceria,s.f.
i,macinare,v.tr.
n,madonna,s.f.;inter.
b,madre,s.f.
i,madrileno,agg.;s.m.
i,madrileno,agg.;s.m.
i,madrina,s.f.
n,maestra,s.f.
i,maestranza,s.f.
b,maestro,s.m.;agg.
n,mafia,s.f.
n,mafioso,agg.;s.m.
b,magari,inter.;cong.;avv.
n,magazzino,s.m.
b,1maggio,s.m.
b,maggioranza,s.f.
i,maggiorenne,agg.;s.m.;f.
n,maggiormente,avv.
n,magia,s.f.
b,magico,agg.
n,magistrato,s.m.
n,magistratura,s.f.
b,1maglia,s.f.
n,maglietta,s.f.
n,magnetico,agg.
n,magnifico,agg.
n,mago,s.m.;agg.
n,magro,agg.;s.m.
n,mah,inter.
b,mai,avv.
n,maiale,s.m.
i,maionese,s.f.
i,mais,s.m.inv.
i,maiuscola,s.f.
b,1malato,agg.;s.m.
b,malattia,s.f.
i,malaugurio,s.m.
i,malavita,s.f.
b,1male,avv.;inter.
b,2male,s.m.
n,maledetto,p.pass.;agg.;s.m.
n,maledizione,s.f.;inter.
i,maleducato,agg.;s.m.
i,maleducazione,s.f.
n,malgrado,s.m.;avv.;cong.;prep.
n,malinconia,s.f.
i,malinteso,agg.;s.m.
i,malizia,s.f.
i,maltempo,s.m.
i,maltese,agg.;s.m.;f.
i,maltrattamento,s.m.
i,maltrattare,v.tr.
i,malva,s.m.;f.;s.m.inv.
n,malvagio,agg.;s.m.
b,mamma,s.f.
i,mammella,s.f.
i,mammifero,s.m.
n,manager,s.m.inv.
b,mancanza,s.f.
b,mancare,v.intr.;v.tr.
n,mancato,p.pass.;agg.
i,mancino,agg.;s.m.
n,1manco,agg.;avv.
b,mandare,v.tr.
i,1mandarino,s.m.;s.m.inv.;agg.inv.
n,mandato,p.pass.;agg.;s.m.
i,mandorla,s.f.
i,mandorlo,s.m.
i,manganello,s.m.
b,1mangiare,v.tr.
i,mangime,s.m.
n,1mania,s.f.
i,maniaco,agg.;s.m.
n,manica,s.f.
n,manico,s.m.
b,maniera,s.f.
b,manifestare,v.tr.;intr.
b,manifestazione,s.f.
n,1manifesto,s.m.
b,mano,s.f.
i,manodopera,s.f.inv.
n,1manoscritto,agg.;s.m.
i,manovale,s.m.
n,manovra,s.f.
n,mantello,s.m.
b,mantenere,v.tr.
n,1manuale,agg.;s.m.
n,2manuale,s.m.
n,manutenzione,s.f.
i,manzo,s.m.
n,mappa,s.f.
n,1marca,s.f.
n,marcare,v.tr.
i,marchigiano,agg.;s.m.
n,marchio,s.m.
n,1marcia,s.f.
n,marciapiede,s.m.
n,marcio,agg.;s.m.
i,marcire,v.intr.;tr.
b,1marco,s.m.
b,mare,s.m.
n,marea,s.f.
n,maresciallo,s.m.
i,1margherita,s.f.
n,marginale,agg.;s.m.;f.
n,margine,s.m.;s.f.
n,marinaio,s.m.
n,1marino,agg.;s.m.
i,marionetta,s.f.
b,marito,s.m.
n,marketing,s.m.inv.
i,marmellata,s.f.
n,marmo,s.m.
i,marocchino,agg.;s.m.
n,1marrone,s.m.;agg.
n,martedì,s.m.inv.
b,marzo,s.m.
i,mascarpone,s.m.
n,maschera,s.f.
n,mascherare,v.tr.
i,mascherato,p.pass.;agg.
b,maschile,agg.;s.m.
b,maschio,s.m.;agg.
b,massa,s.f.;avv.
n,massacrare,v.tr.
i,massacro,s.m.
i,massaggio,s.m.
i,massaia,s.f.
n,massiccio,agg.;s.m.
b,massimo,agg.;s.m.;avv.
n,master,s.m.inv.
n,masticare,v.tr.
n,masturbare,v.tr.
n,1matematica,s.f.
n,matematico,agg.;s.m.
n,materasso,s.m.
b,materia,s.f.
b,materiale,agg.;s.m.
n,maternità,s.f.inv.
n,materno,agg.
n,matita,s.f.
n,matricola,s.f.
n,matrimoniale,agg.;s.f.
b,matrimonio,s.m.
b,1mattina,s.f.
n,mattinata,s.f.
b,mattino,s.m.
b,1matto,agg.;s.m.
n,mattone,s.m.;agg.inv.;s.m.inv.
n,maturare,v.intr.;tr.
n,maturità,s.f.inv.
n,maturo,agg.
n,1mazzo,s.m.
b,me,pron.pers. di prima pers.sing.;s.m.inv.
b,meccanico,agg.;s.m.
b,meccanismo,s.m.
n,medaglia,s.f.
n,medesimo,agg.dimostr.;pron.dimostr.m.
b,1media,s.f.
n,2media,s.m.inv.
n,2mediante,prep.
i,medicare,v.tr.
b,medicina,s.f.
b,1medico,s.m.
n,2medico,agg.
n,medievale,agg.
b,1medio,agg.;s.m.
n,medioevo,s.m.
n,meditare,v.tr.;intr.
n,mediterraneo,agg.;s.m.
b,meglio,avv.;agg.inv.;s.m.inv.
n,mela,s.f.
i,melagrana,s.f.
i,melanzana,s.f.
i,melo,s.m.inv.
i,melograno,s.m.
i,melone,s.m.
n,membrana,s.f.
b,membro,s.m.
b,memoria,s.f.
n,menare,v.tr.;intr.
i,mendicante,p.pres.;agg.;s.m.;f.
b,meno,avv.;agg.compar.inv.;prep.;s.m.inv.
n,1mensa,s.f.
n,mensile,agg.;s.m.
i,mensola,s.f.
i,menta,s.f.
b,1mentale,agg.
n,mentalità,s.f.inv.
b,mente,s.f.
b,mentire,v.intr.;tr.
n,mento,s.m.
b,mentre,cong.
n,menu,s.m.inv.
n,menzogna,s.f.
n,meraviglia,s.f.
n,meravigliare,v.tr.;intr.
b,meraviglioso,agg.;s.m.
n,mercante,s.m.
b,1mercato,s.m.
n,merce,s.f.
i,merceria,s.f.
n,mercoledì,s.m.inv.
b,merda,s.f.
i,merenda,s.f.
i,merendina,s.f.
i,meridiano,agg.;s.m.
b,1meridionale,agg.;s.m.;f.
i,meridione,s.m.
b,meritare,v.tr.;intr.
b,1merito,s.m.
i,1merlo,s.m.
i,1merluzzo,s.m.
n,1mero,agg.
n,mescolare,v.tr.
b,1mese,s.m.
n,1messa,s.f.
n,2messa,s.f.
b,messaggio,s.m.
i,messe,s.f.
i,messicano,agg.;s.m.
b,mestiere,s.m.
i,mestolo,s.m.
i,mestruazione,s.f.
b,metà,s.f.inv.
n,1meta,s.f.
n,metafora,s.f.
n,metallico,agg.
n,1metallo,s.m.
i,metalmeccanico,agg.;s.m.
n,meteo,agg.inv.;s.m.inv.
b,metodo,s.m.
b,1metro,s.m.
n,metropolitano,agg.;s.m.
b,mettere,v.tr.;intr.
n,mezzanotte,s.f.
b,1mezzo,agg.;s.m.;avv.
n,mezzogiorno,s.m.
b,3mi,pron.pers. di prima pers.sing.
i,miagolare,v.intr.
b,1mica,s.f.;avv.
i,1micio,s.m.
n,microfono,s.m.
n,miele,s.m.;s.m.inv.;agg.inv.
i,mietere,v.tr.
i,migliaio,s.m.
b,migliaio,s.m.
n,miglioramento,s.m.
b,migliorare,v.tr.;intr.
b,migliore,agg.;s.m.;f.;avv.
i,mignolo,s.m.
b,mila,agg.num.card.inv.
n,milanese,agg.;s.m.;f.
b,miliardo,s.m.
b,milione,s.m.
b,1militare,agg.;s.m.
b,mille,agg.num.card.inv.;s.m.inv.
n,millennio,s.m.
n,millimetro,s.m.
i,mimosa,s.f.
n,minaccia,s.f.
b,minacciare,v.tr.
n,minchia,s.f.
i,minestra,s.f.
i,minestrone,s.m.
i,1mini,agg.inv.
n,miniera,s.f.
i,minigonna,s.f.
b,minimo,agg.;s.m.
b,ministero,s.m.
b,ministro,s.m.
n,minoranza,s.f.
b,minore,agg.;s.m.;f.
n,minuscolo,agg.
b,1minuto,s.m.
b,mio,agg.poss. di prima pers.sing.;pron.poss. di prima pers.sing.
b,miracolo,s.m.
n,mirare,v.tr.;intr.
n,mischiare,v.tr.
i,miscuglio,s.m.
n,miseria,s.f.
n,misero,agg.
i,missile,agg.;s.m.
b,1missione,s.f.
i,mister,s.m.inv.
n,misterioso,agg.
b,mistero,s.m.
n,misto,agg.;s.m.
b,misura,s.f.
n,misurare,v.tr.;intr.
i,misurazione,s.f.
n,mitico,agg.
n,mito,s.m.
i,mitragliatrice,s.f.
b,1mobile,agg.;s.m.;s.f.
i,mobilio,s.m.
i,mocassino,s.m.
b,1moda,s.f.
n,1modalità,s.f.inv.
n,modella,s.f.
i,modellare,v.tr.
b,modello,s.m.
n,moderato,p.pass.;agg.;avv.;s.m.
n,moderatore,agg.;s.m.
n,modernità,s.f.inv.
b,moderno,agg.;s.m.
i,modestia,s.f.
n,modesto,agg.
n,modifica,s.f.
b,modificare,v.tr.
n,modificazione,s.f.
b,modo,s.m.
n,modulo,s.m.
b,moglie,s.f.
n,molecola,s.f.
i,molisano,agg.;s.m.
i,molla,s.f.
n,mollare,v.tr.;intr.
i,mollusco,s.m.
i,molo,s.m.
n,moltiplicare,v.tr.
b,molto,agg.indef.;pron.indef.;avv.;s.m.
b,momento,s.m.
i,monaca,s.f.
i,1monaco,s.m.
i,monarchica,s.f.
b,mondiale,agg.;s.m.
b,1mondo,s.m.
i,monello,s.m.
b,moneta,s.f.
n,2monetario,agg.
n,monitor,s.m.inv.
n,monologo,s.m.
n,montaggio,s.m.
b,montagna,s.f.
n,montare,v.intr.;tr.
b,monte,s.m.
i,montenegrino,agg.;s.m.
n,monumento,s.m.
n,1mora,s.f.
b,1morale,agg.;s.f.;s.m.
n,morbido,agg.;s.m.
n,mordere,v.tr.
b,morire,v.intr.;v.tr.
n,1moro,agg.;s.m.
i,morsicare,v.tr.
i,1morso,s.m.
i,mortadella,s.f.
n,mortale,agg.;s.m.;f.
b,morte,s.f.
b,morto,p.pass.;agg.;s.m.
n,mosca,s.f.
i,moscovita,agg.;s.m.;f.
n,mossa,s.f.
i,mostarda,s.f.
b,mostra,s.f.
b,mostrare,v.tr.;v.intr.
n,1mostro,s.m.
i,motel,s.m.inv.
n,motivare,v.tr.
n,motivazione,s.f.
b,1motivo,s.m.
b,1moto,s.m.
n,2moto,s.f.inv.
i,motociclismo,s.m.
i,motociclista,agg.;s.m.;f.
b,motore,agg.;s.m.
n,motorino,s.m.
i,motoscafo,s.m.
i,mousse,s.f.inv.
b,movimento,s.m.
i,mozzarella,s.f.
n,mucca,s.f.
n,1mucchio,s.m.
i,muggire,v.intr.
i,muggito,p.pass.;s.m.
i,mugnaio,s.m.
i,mugolare,v.intr.;tr.
i,1mulino,s.m.
n,multa,s.f.
i,multare,v.tr.
n,multinazionale,agg.;s.f.
n,multiplo,agg.;s.m.
i,multipresa,s.f.
i,mummia,s.f.
i,mungere,v.tr.
i,municipio,s.m.
b,muovere,v.tr.;intr.
i,1murare,v.tr.
i,muratore,s.m.
b,muro,s.m.
i,1muschio,s.m.;s.m.inv.;agg.inv.
n,muscolare,agg.;s.m.;f.
b,muscolo,s.m.
b,museo,s.m.
b,1musica,s.f.
b,musicale,agg.
n,musicista,s.m.;f.
n,muso,s.m.
n,musulmano,agg.;s.m.
i,1muta,s.f.
n,mutamento,s.m.
n,mutanda,s.f.
i,mutandina,s.f.
n,mutare,v.tr.;intr.
n,mutazione,s.f.
i,mutilato,p.pass.;agg.;s.m.
n,1muto,agg.;s.m.
n,1mutuo,s.m.
i,nanna,s.f.
n,nano,agg.;s.m.
n,napoletano,agg.;s.m.
n,narrare,v.tr.
n,narrativo,agg.
n,narratore,s.m.
n,narrazione,s.f.
n,1nasale,agg.;s.f.;s.m.
b,nascere,v.intr.;s.m.
b,nascita,s.f.
b,nascondere,v.tr.
i,nascondiglio,s.m.
i,nascondino,s.m.
b,nascosto,p.pass.;agg.;s.m.
b,naso,s.m.
b,nastro,s.m.
b,natale,agg.;s.m.
n,natalizio,agg.;s.m.
n,nato,p.pass.;agg.;s.m.
b,natura,s.f.
b,naturale,agg.;s.m.
b,naturalmente,avv.
i,naufragio,s.m.
i,navale,agg.
b,nave,s.f.
i,navicella,s.f.
n,navigare,v.intr.;v.tr.
n,navigazione,s.f.
b,nazionale,agg.;s.f.;m.
i,nazionalità,s.f.inv.
b,nazione,s.f.
n,nazista,agg.;s.m.;f.
i,ndrangheta,s.f.
b,né,cong.
b,1ne,pron.pers.;avv.
b,neanche,avv.
n,nebbia,s.f.
n,necessariamente,avv.
b,necessario,agg.;s.m.
b,necessità,s.f.inv.
n,necessitare,v.tr.;intr.
b,negare,v.tr.
b,negativo,agg.;s.m.;avv.
i,negazione,s.f.
i,negoziante,p.pres.;s.m.;f.
b,negozio,s.m.
n,negro,agg.;s.m.
b,nemico,agg.;s.m.
b,nemmeno,avv.
i,1neo,s.m.
n,neonato,s.m.;agg.
b,neppure,avv.
b,nero,agg.;s.m.
n,nervo,s.m.
i,nervosismo,s.m.
b,nervoso,agg.;s.m.
b,nessuno,agg.indef.;pron.indef.m.;s.m.
i,1nettare,s.m.
n,netto,agg.;s.m.;avv.
n,network,s.m.inv.
n,neutro,agg.;s.m.
b,neve,s.f.
i,nevicare,v.intr.;tr.
n,news,s.f.pl.
i,newyorkese,agg.;s.m.;f.
n,nido,s.m.
b,niente,pron.indef.inv.;s.m.inv.;agg.inv.;avv.
b,nipote,s.m.;f.
b,1no,avv.;s.m.inv.;agg.inv.
n,nobile,agg.;s.m.;f.
i,nocciola,s.f.;s.m.inv.;agg.inv.
i,nocciolina,s.f.
i,nocivo,agg.
n,nodo,s.m.
b,noi,pron.pers. di prima pers.pl.
n,noia,s.f.
n,noioso,agg.
i,noleggiare,v.tr.
b,nome,s.m.
n,nomina,s.f.
b,nominare,v.tr.
b,non,avv.
n,nonché,cong.
b,nonna,s.f.
b,nonno,s.m.
n,nono,agg.num.ord.;s.m.
b,nonostante,prep.;cong.
b,nord,s.m.inv.;agg.inv.
i,nordamericano,agg.;s.m.
